class,gibbs_err_01,n_examples,mc_samples
plane,0.199767,2448,2000
car,0.10574,2525,2000
bird,0.277129,2537,2000
cat,0.340179,2494,2000
deer,0.230438,2438,2000
dog,0.313113,2535,2000
frog,0.187815,2477,2000
horse,0.178708,2472,2000
ship,0.118142,2475,2000
truck,0.139972,2599,2000
ALL,0.209049,25000,2000
