3917942,39923,249709,114621,91441,13344,24461,54667,276216,113676
77633,4516012,19013,27482,6226,18649,30418,5281,93866,255420
271399,8577,3667845,283932,313852,174223,196958,85567,52837,18810
87837,15393,271200,3291186,242957,646932,197466,138204,51033,45792
82624,2564,275043,267449,3752385,116015,124957,221138,20701,13124
20080,12219,189037,889692,175825,3482515,74262,199771,11364,15235
24761,17553,222918,331742,183652,84570,4023563,15975,26776,22490
67776,5635,122127,192370,256278,179190,11778,4060467,13899,34480
246837,83504,56748,62475,17480,10223,23598,16773,4365197,67165
152817,252266,24859,78510,26057,16611,27899,68821,79735,4470425
