run_id,schema_version,dataset,model,objective,prior_type,base_seed,n_total,n_selected,n_prior,n_posterior,n_bound,perc_train,perc_prior,stratified,split_hash,delta_train,delta_mc,delta_pac,joint_confidence,mc_samples,kl,kl_over_nbound,mc_err_01,mc_ce,emp_risk_01,emp_risk_ce,cert_risk_01,cert_risk_ce,test_stoch_01,test_postmean_01,test_ens_01,prior_net_test_01,label_noise,train_epochs,prior_epochs,lr,lr_prior,sigma_prior,kl_penalty,duration_sec,exit_code,prior_net_s0_01,test_stoch_01_asrun,test_ens_01_asrun,seed_eval_applied,cert_risk_01_nounion,cert_risk_ce_nounion,n_prior_candidates
cifar10_fquad_learnt_cnn13_seed0,2.0,cifar10,cnn13,fquad,learnt,0,50000,50000,25000,50000,25000,1.0,0.5,False,958945b25853cd22ede274567802257d,0.025,0.005,0.005,0.99,2000,1139.3189697265625,0.0455727587890625,0.20905132,0.058215624520055756,0.24164994548496507,0.07811557377024031,0.384915411558129,0.1850485329053752,0.2174,0.1794,0.1717,0.1955,0.0,100,70,0.005,0.005,0.03,0.1,6630.2,0,0.005,0.21530000000000005,0.16979999999999995,True,0.3844582291061262,0.18465852030671845,999
cifar10_fquad_learnt_cnn13_seed1,2.0,cifar10,cnn13,fquad,learnt,1,50000,50000,25000,50000,25000,1.0,0.5,False,69f72b3772a18c4c8629962be294b39a,0.025,0.005,0.005,0.99,2000,1280.1058349609375,0.0512042333984375,0.20857188,0.05867912829757905,0.24114591396481283,0.07864442684711255,0.39341213085050447,0.193579099391816,0.2247,0.1817,0.1718,0.19989999999999997,0.0,100,70,0.005,0.005,0.03,0.1,6560.1,0,0.00484,0.2178,0.17190000000000005,True,0.3929786135445351,0.19320352753754663,999
cifar10_fquad_learnt_cnn13_seed2,2.0,cifar10,cnn13,fquad,learnt,2,50000,50000,25000,50000,25000,1.0,0.5,False,27dabb5a38a548353b80d55355639d19,0.025,0.005,0.005,0.99,2000,1143.3642578125,0.0457345703125,0.20882402,0.05878971192113332,0.2414109950003615,0.07877055461001475,0.3849160443381304,0.18618667006400708,0.216,0.1757,0.17,0.19379999999999997,0.0,100,70,0.005,0.005,0.03,0.1,6553.6,0,0.0026,0.21499999999999997,0.16779999999999995,True,0.38445962714251747,0.18579656979925593,999
cifar10_fquad_learnt_cnn13_seed3,2.0,cifar10,cnn13,fquad,learnt,3,50000,50000,25000,50000,25000,1.0,0.5,False,c98e02308d68add367a80cf93452ef72,0.025,0.005,0.005,0.99,2000,1238.9249267578125,0.0495569970703125,0.20484492,0.057658984218658706,0.23722552379653158,0.07748002844404119,0.3864228784492791,0.18969717944608075,0.2154,0.177,0.1682,0.1945,0.0,100,70,0.005,0.005,0.03,0.1,6536.8,0,0.0046,0.21940000000000004,0.17069999999999996,True,0.38598328255461756,0.18931840179265363,999
cifar10_fquad_learnt_cnn13_seed4,2.0,cifar10,cnn13,fquad,learnt,4,50000,50000,25000,50000,25000,1.0,0.5,False,2ffa16f18ba2a3e9fac095ebfb7ad981,0.025,0.005,0.005,0.99,2000,1147.9195556640625,0.0459167822265625,0.21357438,0.05929154295603035,0.24640178192578704,0.07934269960947844,0.3907732927767177,0.1872375682765985,0.2273,0.1818,0.1747,0.1997,0.0,100,70,0.005,0.005,0.03,0.1,6566.0,0,0.00448,0.22709999999999997,0.17190000000000005,True,0.39031709617828464,0.1868475120085255,999
cifar10_fquad_learnt_cnn15_seed1,2.0,cifar10,cnn15,fquad,learnt,1,50000,50000,25000,50000,25000,1.0,0.5,False,69f72b3772a18c4c8629962be294b39a,0.025,0.005,0.005,0.99,2000,1186.40380859375,0.04745615234375,0.33656482,0.08314114205254362,0.37374095809128977,0.1061736978249383,0.5283515382995695,0.22560172044955168,0.338,0.2795,0.2753,0.2935,0.0,100,70,0.005,0.005,0.03,0.1,8097.8,0,0.22808,0.3405,0.27569999999999995,True,0.5279055896000433,0.22519714948757205,999
cifar10_fquad_learnt_cnn15_seed2,2.0,cifar10,cnn15,fquad,learnt,2,50000,50000,25000,50000,25000,1.0,0.5,False,27dabb5a38a548353b80d55355639d19,0.025,0.005,0.005,0.99,2000,1251.8623046875,0.0500744921875,0.25294758,0.06596095949243927,0.28753726772045074,0.0869133623787995,0.4425072759447427,0.20350542859775173,0.2604,0.2025,0.2037,0.22760000000000002,0.0,100,70,0.005,0.005,0.03,0.1,8150.7,0,0.09344,0.25239999999999996,0.20230000000000004,True,0.44206690483461214,0.2031209829910729,999
cifar10_fquad_learnt_cnn15_seed3,2.0,cifar10,cnn15,fquad,learnt,3,50000,50000,25000,50000,25000,1.0,0.5,False,c98e02308d68add367a80cf93452ef72,0.025,0.005,0.005,0.99,2000,1452.53466796875,0.05810138671875,0.24476236,0.06434904073179616,0.2790177407493987,0.08508905658188709,0.4456277151666112,0.21183435275751625,0.2556,0.1976,0.1955,0.22440000000000004,0.0,100,70,0.005,0.005,0.03,0.1,8217.3,0,0.0772,0.25229999999999997,0.19540000000000002,True,0.44521760334602684,0.2114701297402136,999
cifar10_fquad_learnt_cnn_seed0,2.0,cifar10,cnn,fquad,learnt,0,50000,50000,25000,50000,25000,1.0,0.5,False,958945b25853cd22ede274567802257d,0.025,0.005,0.005,0.99,2000,810.3110961914062,0.03241244384765625,0.26454628,0.07443953200604064,0.29958286418639923,0.09645777881489377,0.42441017028783545,0.18962866671172723,0.2788,0.2564,0.2314,0.2752,0.0,100,70,0.005,0.005,0.03,0.1,4037.7,0,0.00124,0.2821,0.23119999999999996,True,0.4238684266469056,0.18917230805867855,999
cifar10_fquad_learnt_cnn_seed1,2.0,cifar10,cnn,fquad,learnt,1,50000,50000,25000,50000,25000,1.0,0.5,False,69f72b3772a18c4c8629962be294b39a,0.025,0.005,0.005,0.99,2000,866.5946044921875,0.0346637841796875,0.2689802,0.07543535537258596,0.3041795628982925,0.09757352906248602,0.43364088304231324,0.19474820680015265,0.2819,0.2581,0.2403,0.27969999999999995,0.0,100,70,0.005,0.005,0.03,0.1,4033.1,0,0.00048,0.29269999999999996,0.23939999999999995,True,0.43311579030953273,0.19430172131008647,999
