5809336,2473,8596,1255,7548,5051,18752,1327,11977,5685
624,6742457,14678,4939,5491,303,5518,15513,14678,1799
12198,15390,5851448,24879,9268,2747,1577,32670,17800,4023
1519,2803,41495,6080883,594,44704,1495,11499,31177,17831
5731,11932,12467,252,5633844,3190,12057,7703,14471,64353
8606,791,4687,44417,8567,5336492,23324,5381,28151,21584
13382,2830,4364,406,11753,25916,5768874,153,10095,227
3607,19110,47516,10731,16208,1618,727,6112568,8294,29621
10192,14097,23372,32771,9036,24427,9758,5566,5647617,17164
8913,4638,233,12991,52067,17528,1243,38085,24451,5825851
