4031918,52134,235305,101554,97149,24599,20931,66492,237372,132546
58555,4471923,17769,23078,7984,17976,32897,5883,87830,276105
286362,7668,3492021,314938,294378,213520,234203,104580,34921,17409
92134,19210,276027,3205049,224785,701252,221846,153152,50161,56384
111290,4699,250722,272606,3796251,136521,148058,247936,16398,15519
22805,11715,179937,826429,158753,3460244,86956,220064,9044,24053
28252,19237,227735,290631,176649,91970,4092126,13713,36428,23259
62832,4128,112609,200921,232303,179899,15473,4128140,16627,47068
280080,81520,54272,66672,15298,9312,21063,20541,4356906,94336
131665,259558,24636,66322,19666,9787,20363,50751,69129,4348123
