class,gibbs_err_01,n_examples,mc_samples
plane,0.193616,2500,2000
car,0.105615,2500,2000
bird,0.301596,2500,2000
cat,0.35899,2500,2000
deer,0.24075,2500,2000
dog,0.307951,2500,2000
frog,0.181575,2500,2000
horse,0.174372,2500,2000
ship,0.128619,2500,2000
truck,0.130375,2500,2000
ALL,0.212346,25000,2000
