class,gibbs_err_01,n_examples,mc_samples
T-shirt,0.144717,2930,2000
trouser,0.018699,2973,2000
pullover,0.186774,3006,2000
dress,0.097329,3030,2000
coat,0.167271,2989,2000
sandal,0.041697,3030,2000
shirt,0.293099,3011,2000
sneaker,0.056159,3021,2000
bag,0.033077,3019,2000
ankle boot,0.04674,2991,2000
ALL,0.108471,30000,2000
