5011957,5955,87886,135913,16683,5482,558926,57,36939,202
11724,5834816,6900,72570,5608,12,10714,5,3651,0
96142,3365,4889117,59160,550208,6166,396227,51,11527,37
167099,47967,34533,5470185,178321,389,140176,129,19662,1539
13546,10253,422821,191809,4978052,942,343254,76,17198,49
1458,55,1315,434,1307,5807314,831,158572,13174,75540
728459,7506,420219,129499,430219,1885,4256957,1447,44981,828
1232,41,350,217,71,132832,355,5702686,12906,191310
36146,123,30588,23057,25470,12063,57052,12569,5838280,2652
17,1292,66,26,34,60011,30,210649,7476,5702399
