5065676,7863,90910,173604,21362,9487,590422,505,39922,249
16480,5876599,7024,75352,13828,841,7744,3,1318,811
81107,4166,4827593,60674,574335,3215,431636,116,17153,5
133309,48076,44323,5389605,223415,2157,139063,632,19400,20
13562,8644,417317,170935,5058575,399,313238,303,16885,142
1428,1013,202,3397,252,5792556,1250,130581,19358,49963
727055,9517,487658,133773,400208,1323,4186925,532,52856,153
48,19,7,371,142,110814,30,5701136,16686,170747
27936,1836,20111,14838,14279,18634,55153,13569,5831325,2319
46,736,1376,243,243,52774,40,192401,2988,5749153
