class,gibbs_err_01,n_examples,mc_samples
T-shirt,0.155721,3000,2000
trouser,0.020567,3000,2000
pullover,0.195401,3000,2000
dress,0.101733,3000,2000
coat,0.156904,3000,2000
sandal,0.034574,3000,2000
shirt,0.302179,3000,2000
sneaker,0.049811,3000,2000
bag,0.028112,3000,2000
ankle boot,0.041808,3000,2000
ALL,0.108681,30000,2000
