5848589,1297,6953,612,3263,6513,21688,5249,14727,13109
638,6680373,16453,5812,6892,847,3179,7724,15986,4096
11019,16226,5824686,23685,8501,3597,7603,33952,23971,4760
3371,5047,45943,5957601,954,44202,1356,18405,31902,21219
7889,10478,11533,381,5709553,2175,22532,11483,4486,61490
8979,2833,4975,32080,4567,5286293,30600,9610,24700,15363
20904,7435,5544,181,9230,21111,5836631,65,16562,337
3708,16065,31513,8356,11918,3437,146,6157084,6529,27244
11725,16344,16698,27048,9703,24630,18741,6631,5699456,21024
10108,6230,1846,23336,71945,20182,959,47291,14106,5753997
