class,gibbs_err_01,n_examples,mc_samples
0,0.012396,2961,2000
1,0.009141,3371,2000
2,0.022376,2979,2000
3,0.028124,3065,2000
4,0.022672,2921,2000
5,0.024669,2710,2000
6,0.013749,2959,2000
7,0.017382,3133,2000
8,0.026067,2926,2000
9,0.032942,2975,2000
ALL,0.020762,30000,2000
