3874032,51127,254128,107374,99883,46622,39037,58084,315033,154680
56499,4382414,27882,26869,15063,24798,40485,14270,106889,304831
298389,24723,3172536,324598,413679,262950,262158,130038,80210,30719
141663,21413,297239,2757760,331858,784817,333601,166797,78213,86639
127440,8544,322766,307897,3490080,173713,227686,271000,45017,25857
58060,18733,254537,848697,248260,3055394,186642,246213,36683,46781
42458,20982,220928,312263,229957,126148,3945750,27870,42925,30719
69955,11083,142790,245983,311837,267095,51074,3834897,20790,44496
254260,101001,57328,75763,27942,30727,32813,13851,4280288,126027
136420,318173,37134,96108,27381,29214,41537,44589,90931,4178513
