class,gibbs_err_01,n_examples,mc_samples
plane,0.225194,2500,2000
car,0.123517,2500,2000
bird,0.365493,2500,2000
cat,0.448448,2500,2000
deer,0.301984,2500,2000
dog,0.388921,2500,2000
frog,0.21085,2500,2000
horse,0.233021,2500,2000
ship,0.143942,2500,2000
truck,0.164297,2500,2000
ALL,0.260567,25000,2000
