3714150,67817,235642,132187,99315,46004,41795,61854,330052,167184
53936,4415470,24606,39848,16445,19812,31908,15051,111702,321222
293018,24968,3214586,356395,384247,289957,262566,133282,73167,41814
119177,26904,299124,2753737,311833,829951,313018,165918,67585,100753
109756,7548,308884,353693,3382724,184704,207813,253087,38209,29582
51324,19124,226772,917552,227153,3128687,156177,253563,39850,49798
37059,34118,244240,323253,218143,155988,3828776,30052,40299,42072
55862,10760,130866,272664,287184,274483,42782,3777148,23460,68791
235242,104138,46311,80673,27465,26634,50581,15978,4250439,112539
145252,315405,28437,110474,29426,44815,45542,57510,111298,4309841
