class,gibbs_err_01,n_examples,mc_samples
plane,0.241391,2448,2000
car,0.12565,2525,2000
bird,0.366459,2537,2000
cat,0.447928,2494,2000
deer,0.30625,2438,2000
dog,0.382902,2535,2000
frog,0.227134,2477,2000
horse,0.236014,2472,2000
ship,0.141325,2475,2000
truck,0.170866,2599,2000
ALL,0.264489,25000,2000
